DIA,MES,AÑO,LECHE_PARA_QUESILLO (LTS),TOTAL_PROCESADO (LTS),PRODUCCION (QTY)
25,4,2020,7.750,7.750,4.467
26,4,2020,3.400,7.700,1.968
27,4,2020,7.750,7.750,4.461
28,4,2020,0,0,0
29,4,2020,8.535,12.835,4.960
30,4,2020,5.058,9.358,2.884
1,5,2020,2.902,7.202,1.710
2,5,2020,3.271,7.571,1.918
3,5,2020,7.509,7.509,4.301
4,5,2020,3.311,7.611,1.886
5,5,2020,0,0,0
6,5,2020,10.500,14.800,5.839
7,5,2020,7.853,7.853,4.480
8,5,2020,7.686,0,0
9,5,2020,8.400,12.700,4.768
10,5,2020,6.160,10.460,3.469
11,5,2020,3.270,7.650,1.827
12,5,2020,0,0,0
13,5,2020,8.077,12.377,4.636
14,5,2020,6.988,11.288,4.048
15,5,2020,3.681,7.981,2.120
16,5,2020,3.758,8.058,2.151
17,5,2020,5.244,8.244,3.031
18,5,2020,5.300,8.300,3.041
19,5,2020,0,0,0
20,5,2020,8.200,14.200,4.702
21,5,2020,5.133,9.433,2.973
22,5,2020,3.570,7.870,2.061
23,5,2020,3.566,7.866,2.065
24,5,2020,4.950,7.950,2.840
25,5,2020,4.800,7.800,2.745
26,5,2020,0,0,0
27,5,2020,8.050,12.350,4.605
28,5,2020,7.427,10.927,4.273
29,5,2020,0,0,0
30,5,2020,8.171,12.471,4.633
31,5,2020,6.306,10.606,3.604
1,6,2020,4.530,7.530,2.607
2,6,2020,0,0,0
3,6,2020,8.000,12.300,4.568
4,6,2020,7.828,10.828,4.472
5,6,2020,0,0,0
6,6,2020,8.210,12.210,4.680
7,6,2020,6.500,10.800,3.747
8,6,2020,3.450,7.850,1.972
9,6,2020,0,0,0
10,6,2020,8.228,12.628,4.675
11,6,2020,6.166,10.566,3.516
12,6,2020,3.238,7.238,1.866
13,6,2020,3.246,7.546,1.846
14,6,2020,7.474,7.474,4.262
15,6,2020,5.591,7.641,3.211
16,6,2020,0,0,0
17,6,2020,8.058,12.058,4.608
18,6,2020,6.518,10.518,3.797
19,6,2020,0,0,0
20,6,2020,7.240,11.640,4.202
21,6,2020,6.113,10.113,3.613
22,6,2020,3.310,7.310,1.897
23,6,2020,0,0,0
24,6,2020,7.261,11.261,4.229
25,6,2020,5.344,9.544,3.080
26,6,2020,3.170,7.370,1.783
27,6,2020,7.013,7.013,4.098
28,6,2020,7.302,7.302,4.220
29,6,2020,3.127,7.527,1.804
30,6,2020,0,0,0
1,7,2020,7.200,11.600,4.241
2,7,2020,6.817,11.217,3.929
3,7,2020,3.048,7.448,1.738
4,7,2020,7.545,7.545,4.305
5,7,2020,7.370,7.370,4.154
6,7,2020,3.050,7.450,1.768
7,7,2020,0,0,0
8,7,2020,7.320,11.720,4.234
9,7,2020,6.876,10.876,3.953
10,7,2020,0,0,0
11,7,2020,7.347,11.747,4.220
12,7,2020,6.776,10.776,3.938
13,7,2020,3.590,7.590,2.096
14,7,2020,0,0,0
15,7,2020,7.416,11.816,4.287
16,7,2020,6.849,11.249,3.940
17,7,2020,3.390,7.790,1.992
18,7,2020,3.830,7.830,2.206
19,7,2020,7.629,7.629,4.389
20,7,2020,3.850,8.250,2.221
21,7,2020,0,0,0
22,7,2020,7.645,12.045,4.446
23,7,2020,7.690,12.090,4.476
24,7,2020,0,0,0
25,7,2020,7.600,12.000,4.393
26,7,2020,7.743,12.243,4.384
27,7,2020,3.600,8.000,2.089
28,7,2020,0,0,0
29,7,2020,7.600,12.000,4.414
30,7,2020,7.800,12.300,4.440
31,7,2020,3.802,8.302,2.168
1,8,2020,3.750,8.250,2.165
2,8,2020,7.600,7.600,4.394
3,8,2020,4.920,8.920,2.855
4,8,2020,0,0,0
5,8,2020,7.600,12.100,4.352
6,8,2020,7.598,11.898,4.372
7,8,2020,0,0,0
8,8,2020,7.600,12.100,4.366
9,8,2020,7.450,11.750,4.321
10,8,2020,5.750,8.150,3.318
11,8,2020,0,0,0
12,8,2020,7.600,12.100,4.422
13,8,2020,7.920,12.420,4.480
14,8,2020,3.800,8.050,2.201
15,8,2020,5.700,7.950,3.299
16,8,2020,7.750,7.750,4.389
17,8,2020,7.750,7.750,4.463
18,8,2020,0,0,0
19,8,2020,7.600,12.100,4.383
20,8,2020,6.833,10.833,4.006
21,8,2020,0,0,0
22,8,2020,7.600,12.100,4.392
23,8,2020,7.044,11.244,4.018
